Country Code,Country,Region,Indicator Code,Indicator Name,Indicator Short Name,Category,Value Type,Model,MAE,RMSE,R2 Score
KOR,"Korea, Rep.",East Asia,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,Linear Regression,0.9454158520164725,1.185407485941336,0.08676755963820537
KOR,"Korea, Rep.",East Asia,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,Linear Regression,4.678450148636833,5.669897766755782,0.2019650150263722
KOR,"Korea, Rep.",East Asia,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,Linear Regression,0.17103696431326923,0.22809998563181386,0.8602407159284433
KOR,"Korea, Rep.",East Asia,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,Linear Regression,77619380073.29536,93874572578.21982,0.9526597860192644
KOR,"Korea, Rep.",East Asia,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,Linear Regression,1569.2220463881833,1895.9352780130253,0.9423146109470802
KOR,"Korea, Rep.",East Asia,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,Linear Regression,0.32592781538461524,0.37620999205640027,0.023072974509579014
KOR,"Korea, Rep.",East Asia,SP.POP.TOTL,Total Population,Population,Population,People,Linear Regression,260679.94990769387,318731.92712504213,0.9606399798427484
LKA,Sri Lanka,South Asia,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,Linear Regression,6.072689151518035,9.58495625583891,0.004751269969158978
LKA,Sri Lanka,South Asia,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,Linear Regression,2.575779123847814,3.039758449230722,0.8247597952885254
LKA,Sri Lanka,South Asia,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,Linear Regression,1.7010006300832874,2.037025322147092,0.6677661882662183
LKA,Sri Lanka,South Asia,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,Linear Regression,9360824848.144886,10725490167.676561,0.8691412171734498
LKA,Sri Lanka,South Asia,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,Linear Regression,467.5881203023622,537.6804364562844,0.8393672165867234
LKA,Sri Lanka,South Asia,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,Linear Regression,0.829631999999997,0.947405298112853,0.6395506672130155
LKA,Sri Lanka,South Asia,SP.POP.TOTL,Total Population,Population,Population,People,Linear Regression,165570.35907692194,198635.29406527872,0.940733778801835
MYS,Malaysia,Southeast Asia,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,Linear Regression,0.953311200494451,1.275158299390679,0.0009474935569061538
MYS,Malaysia,Southeast Asia,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,Linear Regression,6.735091062124654,7.52930842780352,0.8409651245723637
MYS,Malaysia,Southeast Asia,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,Linear Regression,0.6841797368447032,0.8766996466653186,0.0888343679639434
MYS,Malaysia,Southeast Asia,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,Linear Regression,20712313803.68832,25455543831.885708,0.9425630742048908
MYS,Malaysia,Southeast Asia,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,Linear Regression,834.1016332093827,1013.1875256418577,0.8558933771002317
MYS,Malaysia,Southeast Asia,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,Linear Regression,0.2998518153846155,0.3777673670802825,0.18605160610762816
MYS,Malaysia,Southeast Asia,SP.POP.TOTL,Total Population,Population,Population,People,Linear Regression,131851.05076924324,153160.32679432887,0.9984029292680705
NPL,Nepal,South Asia,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,Linear Regression,2.3467058987975458,2.6366864575623867,0.03269319539735638
NPL,Nepal,South Asia,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,Linear Regression,1.5485204340462937,2.0816907959372566,0.8091382270672223
NPL,Nepal,South Asia,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,Linear Regression,0.8992726854564733,1.1788679946034217,0.9523756100075522
NPL,Nepal,South Asia,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,Linear Regression,1797910361.4557614,2085076527.9077382,0.9713048661644436
NPL,Nepal,South Asia,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,Linear Regression,55.7689822296264,67.0941585726832,0.9730252031646154
NPL,Nepal,South Asia,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,Linear Regression,0.29859956923076836,0.5385321161196494,0.10386915874187508
NPL,Nepal,South Asia,SP.POP.TOTL,Total Population,Population,Population,People,Linear Regression,245889.030400002,283877.0233957995,0.9602558838465939
PAK,Pakistan,South Asia,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,Linear Regression,4.194348640498237,5.73549308264213,0.19399187272348672
PAK,Pakistan,South Asia,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,Linear Regression,1.0652188878408986,1.2376501748016304,0.2517012906691336
PAK,Pakistan,South Asia,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,Linear Regression,1.0346945277603634,1.2822579616340637,0.0001566052754554681
PAK,Pakistan,South Asia,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,Linear Regression,15430278077.729195,19530528656.26234,0.9552763817611946
PAK,Pakistan,South Asia,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,Linear Regression,84.12065558412877,104.17177543366992,0.8871774418047265
PAK,Pakistan,South Asia,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,Linear Regression,0.7357777230769246,0.8877948913503021,0.8156868950639765
PAK,Pakistan,South Asia,SP.POP.TOTL,Total Population,Population,Population,People,Linear Regression,1417833.2055382156,1637573.2412139138,0.9967706056399349
SAU,Saudi Arabia,Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,Linear Regression,1.7975465044279233,2.4671294646246635,0.013694547678656965
SAU,Saudi Arabia,Middle East,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,Linear Regression,7.159299132032557,8.4399889831415,0.4378519770159426
SAU,Saudi Arabia,Middle East,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,Linear Regression,0.5529554796807221,0.6442777464593702,0.5065565764040632
SAU,Saudi Arabia,Middle East,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,Linear Regression,67652339577.82529,85023180258.62689,0.9306222075338053
SAU,Saudi Arabia,Middle East,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,Linear Regression,2434.0198702314815,3113.9969132758856,0.8494809709271955
SAU,Saudi Arabia,Middle East,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,Linear Regression,0.5102802461538463,0.7896904201209287,0.003046682426777081
SAU,Saudi Arabia,Middle East,SP.POP.TOTL,Total Population,Population,Population,People,Linear Regression,680653.9814154244,878350.4400869666,0.9745101453813704
TUR,Turkiye,Europe / Middle East,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,Linear Regression,16.921297962280892,20.164409602658466,0.013080339116974815
TUR,Turkiye,Europe / Middle East,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,Linear Regression,2.483388085408256,3.0438375271183506,0.5295688929244269
TUR,Turkiye,Europe / Middle East,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,Linear Regression,0.5497611366390609,0.6088807120495962,0.7965585002621725
TUR,Turkiye,Europe / Middle East,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,Linear Regression,117936154210.85164,137789792025.19183,0.7506184212954182
TUR,Turkiye,Europe / Middle East,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,Linear Regression,1696.3992592717561,1944.3905152445434,0.6091025348364774
TUR,Turkiye,Europe / Middle East,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,Linear Regression,1.1249975384615418,1.512678029619097,0.08830431840837405
TUR,Turkiye,Europe / Middle East,SP.POP.TOTL,Total Population,Population,Population,People,Linear Regression,446636.2180922985,518460.26570050116,0.9936438873754748
