Region,Country Code,Country,Year,Indicator Code,Indicator Name,Indicator Short Name,Category,Value Type,Sum of Value,Sum of Previous Year Value,Sum of Growth Rate %,Sum of Country Share %
Europe / Middle East,TUR,Turkiye,2007,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,22.1875803331528,22.6756853295786,-2.15%,4.90%
Europe / Middle East,TUR,Turkiye,2007,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,7.41825141005247,8.06197674009426,-7.98%,5.14%
Europe / Middle East,TUR,Turkiye,2007,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,685228481017.03,559668118237.002,22.43%,8.22%
Europe / Middle East,TUR,Turkiye,2007,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,9766.91734545294,7990.08251407245,22.24%,8.45%
Europe / Middle East,TUR,Turkiye,2007,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,10.285,10.227,0.57%,15.52%
Europe / Middle East,TUR,Turkiye,2007,SP.POP.TOTL,Total Population,Population,Population,People,70158112,70045349,0.16%,2.13%
Europe / Middle East,TUR,Turkiye,2008,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,10.4441283764885,8.75618090972632,19.28%,8.11%
Europe / Middle East,TUR,Turkiye,2008,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,23.9213779600098,22.1875803331528,7.81%,5.16%
Europe / Middle East,TUR,Turkiye,2008,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,7.38022403324347,7.41825141005247,-0.51%,5.07%
Europe / Middle East,TUR,Turkiye,2008,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,775415944332.866,685228481017.03,13.16%,8.03%
Europe / Middle East,TUR,Turkiye,2008,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,10913.4079047769,9766.91734545294,11.74%,8.75%
Europe / Middle East,TUR,Turkiye,2008,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,10.965,10.285,6.61%,16.79%
Europe / Middle East,TUR,Turkiye,2008,SP.POP.TOTL,Total Population,Population,Population,People,71051678,70158112,1.27%,2.13%
Europe / Middle East,TUR,Turkiye,2009,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,6.25097663090626,10.4441283764885,-40.15%,9.71%
Europe / Middle East,TUR,Turkiye,2009,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,23.7578595278795,23.9213779600098,-0.68%,5.69%
Europe / Middle East,TUR,Turkiye,2009,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,8.01952664747498,7.38022403324347,8.66%,5.43%
Europe / Middle East,TUR,Turkiye,2009,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,653894449921.288,775415944332.866,-15.67%,6.58%
Europe / Middle East,TUR,Turkiye,2009,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,9076.92472236977,10913.4079047769,-16.83%,8.81%
Europe / Middle East,TUR,Turkiye,2009,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,14.026,10.965,27.92%,20.11%
Europe / Middle East,TUR,Turkiye,2009,SP.POP.TOTL,Total Population,Population,Population,People,72039206,71051678,1.39%,2.14%
Europe / Middle East,TUR,Turkiye,2010,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,8.56644420552976,6.25097663090626,37.04%,11.23%
Europe / Middle East,TUR,Turkiye,2010,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,21.5899457839207,23.7578595278795,-9.13%,5.50%
Europe / Middle East,TUR,Turkiye,2010,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,8.90737962747164,8.01952664747498,11.07%,6.08%
Europe / Middle East,TUR,Turkiye,2010,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,782545664268.333,653894449921.288,19.67%,6.48%
Europe / Middle East,TUR,Turkiye,2010,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,10698.9699409757,9076.92472236977,17.87%,8.58%
Europe / Middle East,TUR,Turkiye,2010,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,11.879,14.026,-15.31%,18.55%
Europe / Middle East,TUR,Turkiye,2010,SP.POP.TOTL,Total Population,Population,Population,People,73142150,72039206,1.53%,2.15%
Europe / Middle East,TUR,Turkiye,2011,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,6.471879671151,8.56644420552976,-24.45%,8.15%
Europe / Middle East,TUR,Turkiye,2011,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,23.4903574412774,21.5899457839207,8.80%,5.60%
Europe / Middle East,TUR,Turkiye,2011,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,8.1265846445357,8.90737962747164,-8.77%,5.60%
Europe / Middle East,TUR,Turkiye,2011,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,844192507380.795,782545664268.333,7.88%,5.89%
Europe / Middle East,TUR,Turkiye,2011,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,11373.6355760885,10698.9699409757,6.31%,7.92%
Europe / Middle East,TUR,Turkiye,2011,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,9.789,11.879,-17.59%,16.11%
Europe / Middle East,TUR,Turkiye,2011,SP.POP.TOTL,Total Population,Population,Population,People,74223629,73142150,1.48%,2.15%
Europe / Middle East,TUR,Turkiye,2012,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,8.89156996512163,6.471879671151,37.39%,13.56%
Europe / Middle East,TUR,Turkiye,2012,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,24.9658181147838,23.4903574412774,6.28%,5.94%
Europe / Middle East,TUR,Turkiye,2012,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,7.658344974583,8.1265846445357,-5.76%,5.51%
Europe / Middle East,TUR,Turkiye,2012,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,885327622479.052,844192507380.795,4.87%,5.68%
Europe / Middle East,TUR,Turkiye,2012,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,11776.7593362033,11373.6355760885,3.54%,7.93%
Europe / Middle East,TUR,Turkiye,2012,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,9.21,9.789,-5.91%,14.87%
Europe / Middle East,TUR,Turkiye,2012,SP.POP.TOTL,Total Population,Population,Population,People,75175827,74223629,1.28%,2.16%
Europe / Middle East,TUR,Turkiye,2013,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,7.49309030547693,8.89156996512163,-15.73%,11.40%
Europe / Middle East,TUR,Turkiye,2013,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,24.403259811358,24.9658181147838,-2.25%,5.95%
Europe / Middle East,TUR,Turkiye,2013,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,6.64997261417217,7.658344974583,-13.17%,4.91%
Europe / Middle East,TUR,Turkiye,2013,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,962167643588.925,885327622479.052,8.68%,5.69%
Europe / Middle East,TUR,Turkiye,2013,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,12635.5570016068,11776.7593362033,7.29%,8.32%
Europe / Middle East,TUR,Turkiye,2013,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,9.713,9.21,5.46%,15.54%
Europe / Middle East,TUR,Turkiye,2013,SP.POP.TOTL,Total Population,Population,Population,People,76147624,75175827,1.29%,2.16%
Europe / Middle East,TUR,Turkiye,2014,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,8.85457271364316,7.49309030547693,18.17%,15.12%
Europe / Middle East,TUR,Turkiye,2014,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,25.8173246854016,24.403259811358,5.79%,6.53%
Europe / Middle East,TUR,Turkiye,2014,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,6.53828042868413,6.64997261417217,-1.68%,4.91%
Europe / Middle East,TUR,Turkiye,2014,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,942343431928.654,962167643588.925,-2.06%,5.18%
Europe / Middle East,TUR,Turkiye,2014,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,12209.3862327674,12635.5570016068,-3.37%,7.91%
Europe / Middle East,TUR,Turkiye,2014,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,9.901,9.713,1.94%,16.21%
Europe / Middle East,TUR,Turkiye,2014,SP.POP.TOTL,Total Population,Population,Population,People,77181884,76147624,1.36%,2.17%
Europe / Middle East,TUR,Turkiye,2015,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,7.67085364845885,8.85457271364316,-13.37%,15.71%
Europe / Middle East,TUR,Turkiye,2015,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,25.280784580735,25.8173246854016,-2.08%,6.65%
Europe / Middle East,TUR,Turkiye,2015,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,6.87689834308907,6.53828042868413,5.18%,5.24%
Europe / Middle East,TUR,Turkiye,2015,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,865460050683.656,942343431928.654,-8.16%,4.65%
Europe / Middle East,TUR,Turkiye,2015,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,11064.6494504662,12209.3862327674,-9.38%,7.92%
Europe / Middle East,TUR,Turkiye,2015,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,10.304,9.901,4.07%,16.03%
Europe / Middle East,TUR,Turkiye,2015,SP.POP.TOTL,Total Population,Population,Population,People,78218479,77181884,1.34%,2.18%
Europe / Middle East,TUR,Turkiye,2016,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,7.7751341532833,7.67085364845885,1.36%,16.54%
Europe / Middle East,TUR,Turkiye,2016,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,23.6322024334399,25.280784580735,-6.52%,6.56%
Europe / Middle East,TUR,Turkiye,2016,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,6.26556196399699,6.87689834308907,-8.89%,4.96%
Europe / Middle East,TUR,Turkiye,2016,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,870818016909.84,865460050683.656,0.62%,4.54%
Europe / Middle East,TUR,Turkiye,2016,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,10984.3643169061,11064.6494504662,-0.73%,7.97%
Europe / Middle East,TUR,Turkiye,2016,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,10.899,10.304,5.77%,17.22%
Europe / Middle East,TUR,Turkiye,2016,SP.POP.TOTL,Total Population,Population,Population,People,79277962,78218479,1.35%,2.18%
Europe / Middle East,TUR,Turkiye,2017,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,11.1443110840764,7.7751341532833,43.33%,23.67%
Europe / Middle East,TUR,Turkiye,2017,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,26.5394989930636,23.6322024334399,12.30%,7.18%
Europe / Middle East,TUR,Turkiye,2017,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,6.19642323537778,6.26556196399699,-1.10%,5.03%
Europe / Middle East,TUR,Turkiye,2017,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,863874522365.276,870818016909.84,-0.80%,4.11%
Europe / Middle East,TUR,Turkiye,2017,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,10756.3877677883,10984.3643169061,-2.08%,7.41%
Europe / Middle East,TUR,Turkiye,2017,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,10.919,10.899,0.18%,16.93%
Europe / Middle East,TUR,Turkiye,2017,SP.POP.TOTL,Total Population,Population,Population,People,80312698,79277962,1.31%,2.19%
Europe / Middle East,TUR,Turkiye,2018,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,16.3324638988929,11.1443110840764,46.55%,32.28%
Europe / Middle East,TUR,Turkiye,2018,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,31.7278536539697,26.5394989930636,19.55%,8.43%
Europe / Middle East,TUR,Turkiye,2018,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,6.00418639185492,6.19642323537778,-3.10%,5.09%
Europe / Middle East,TUR,Turkiye,2018,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,788356985773.667,863874522365.276,-8.74%,3.43%
Europe / Middle East,TUR,Turkiye,2018,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,9684.11819884721,10756.3877677883,-9.97%,6.15%
Europe / Middle East,TUR,Turkiye,2018,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,10.956,10.919,0.34%,16.57%
Europe / Middle East,TUR,Turkiye,2018,SP.POP.TOTL,Total Population,Population,Population,People,81407204,80312698,1.36%,2.20%
Europe / Middle East,TUR,Turkiye,2019,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,15.1768215720022,16.3324638988929,-7.08%,31.60%
Europe / Middle East,TUR,Turkiye,2019,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,33.0298811646869,31.7278536539697,4.10%,8.97%
Europe / Middle East,TUR,Turkiye,2019,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,6.6541535628227,6.00418639185492,10.83%,5.71%
Europe / Middle East,TUR,Turkiye,2019,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,775853144222.613,788356985773.667,-1.59%,3.30%
Europe / Middle East,TUR,Turkiye,2019,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,9395.23378001368,9684.11819884721,-2.98%,6.06%
Europe / Middle East,TUR,Turkiye,2019,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,13.73,10.956,25.32%,20.22%
Europe / Middle East,TUR,Turkiye,2019,SP.POP.TOTL,Total Population,Population,Population,People,82579440,81407204,1.44%,2.22%
Europe / Middle East,TUR,Turkiye,2020,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,12.2789574462574,15.1768215720022,-19.09%,24.28%
Europe / Middle East,TUR,Turkiye,2020,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,28.7400043468285,33.0298811646869,-12.99%,8.38%
Europe / Middle East,TUR,Turkiye,2020,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,6.89122590909685,6.6541535628227,3.56%,5.52%
Europe / Middle East,TUR,Turkiye,2020,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,733628247119.077,775853144222.613,-5.44%,3.13%
Europe / Middle East,TUR,Turkiye,2020,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,8798.11791709313,9395.23378001368,-6.36%,6.30%
Europe / Middle East,TUR,Turkiye,2020,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,13.148,13.73,-4.24%,16.31%
Europe / Middle East,TUR,Turkiye,2020,SP.POP.TOTL,Total Population,Population,Population,People,83384680,82579440,0.98%,2.22%
Europe / Middle East,TUR,Turkiye,2021,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,19.5964926913324,12.2789574462574,59.59%,31.78%
Europe / Middle East,TUR,Turkiye,2021,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,35.0536332850518,28.7400043468285,21.97%,9.25%
Europe / Middle East,TUR,Turkiye,2021,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,5.70488171636816,6.89122590909685,-17.22%,4.63%
Europe / Middle East,TUR,Turkiye,2021,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,839938668172.134,733628247119.077,14.49%,3.00%
Europe / Middle East,TUR,Turkiye,2021,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,9981.76398411336,8798.11791709313,13.45%,6.12%
Europe / Middle East,TUR,Turkiye,2021,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,11.969,13.148,-8.97%,16.23%
Europe / Middle East,TUR,Turkiye,2021,SP.POP.TOTL,Total Population,Population,Population,People,84147318,83384680,0.91%,2.23%
Europe / Middle East,TUR,Turkiye,2022,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,72.3088359891207,19.5964926913324,268.99%,38.80%
Europe / Middle East,TUR,Turkiye,2022,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,38.1412107474416,35.0536332850518,8.81%,9.12%
Europe / Middle East,TUR,Turkiye,2022,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,6.69360961922604,5.70488171636816,17.33%,5.62%
Europe / Middle East,TUR,Turkiye,2022,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,926097476913.818,839938668172.134,10.26%,3.21%
Europe / Middle East,TUR,Turkiye,2022,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,10897.8397861365,9981.76398411336,9.18%,6.20%
Europe / Middle East,TUR,Turkiye,2022,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,10.465,11.969,-12.57%,16.34%
Europe / Middle East,TUR,Turkiye,2022,SP.POP.TOTL,Total Population,Population,Population,People,84979913,84147318,0.99%,2.24%
Europe / Middle East,TUR,Turkiye,2023,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,53.8594087593315,72.3088359891207,-25.51%,39.10%
Europe / Middle East,TUR,Turkiye,2023,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,31.9135926809724,38.1412107474416,-16.33%,8.13%
Europe / Middle East,TUR,Turkiye,2023,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,6.38984597795627,6.69360961922604,-4.54%,5.40%
Europe / Middle East,TUR,Turkiye,2023,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,1141242864657.45,926097476913.818,23.23%,3.89%
Europe / Middle East,TUR,Turkiye,2023,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,13375.0947282864,10897.8397861365,22.73%,7.60%
Europe / Middle East,TUR,Turkiye,2023,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,9.388,10.465,-10.29%,16.25%
Europe / Middle East,TUR,Turkiye,2023,SP.POP.TOTL,Total Population,Population,Population,People,85325965,84979913,0.41%,2.24%
Europe / Middle East,TUR,Turkiye,2024,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,58.5064507300342,53.8594087593315,8.63%,58.09%
Europe / Middle East,TUR,Turkiye,2024,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,27.5682232095509,31.9135926809724,-13.62%,9.70%
Europe / Middle East,TUR,Turkiye,2024,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,5.82042467876951,6.38984597795627,-8.91%,4.87%
Europe / Middle East,TUR,Turkiye,2024,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,1359123768774.12,1141242864657.45,19.09%,4.46%
Europe / Middle East,TUR,Turkiye,2024,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,15892.7157287241,13375.0947282864,18.82%,8.81%
Europe / Middle East,TUR,Turkiye,2024,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,8.8,9.388,-6.26%,15.43%
Europe / Middle East,TUR,Turkiye,2024,SP.POP.TOTL,Total Population,Population,Population,People,85518661,85325965,0.23%,2.23%
Middle East,ARE,United Arab Emirates,2000,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,2.26265009303746,,,1.21%
Middle East,ARE,United Arab Emirates,2000,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,104337372362.151,,,3.17%
Middle East,ARE,United Arab Emirates,2000,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,29865.502347066,,,44.66%
Middle East,ARE,United Arab Emirates,2000,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,2.25,,,3.78%
Middle East,ARE,United Arab Emirates,2000,SP.POP.TOTL,Total Population,Population,Population,People,3493575,,,0.12%
Middle East,ARE,United Arab Emirates,2001,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,49.1592253276122,,,11.91%
Middle East,ARE,United Arab Emirates,2001,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,2.23820016235649,2.26265009303746,-1.08%,1.24%
Middle East,ARE,United Arab Emirates,2001,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,103311640571.818,104337372362.151,-0.98%,3.11%
Middle East,ARE,United Arab Emirates,2001,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,27745.1708087672,29865.502347066,-7.10%,44.88%
Middle East,ARE,United Arab Emirates,2001,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,2.443,2.25,8.58%,3.89%
Middle East,ARE,United Arab Emirates,2001,SP.POP.TOTL,Total Population,Population,Population,People,3723590,3493575,6.58%,0.12%
Middle East,ARE,United Arab Emirates,2002,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,49.5033473840813,49.1592253276122,0.70%,12.42%
Middle East,ARE,United Arab Emirates,2002,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,2.20332258864369,2.23820016235649,-1.56%,1.28%
Middle East,ARE,United Arab Emirates,2002,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,109816201497.617,103311640571.818,6.30%,2.99%
Middle East,ARE,United Arab Emirates,2002,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,27753.6089526346,27745.1708087672,0.03%,43.14%
Middle East,ARE,United Arab Emirates,2002,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,2.659,2.443,8.84%,3.95%
Middle East,ARE,United Arab Emirates,2002,SP.POP.TOTL,Total Population,Population,Population,People,3956826,3723590,6.26%,0.13%
Middle East,ARE,United Arab Emirates,2003,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,55.9231992151745,49.5033473840813,12.97%,13.70%
Middle East,ARE,United Arab Emirates,2003,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,1.92768393253654,2.20332258864369,-12.51%,1.16%
Middle East,ARE,United Arab Emirates,2003,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,124346358066.712,109816201497.617,13.23%,2.95%
Middle East,ARE,United Arab Emirates,2003,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,29659.5428567811,27753.6089526346,6.87%,41.98%
Middle East,ARE,United Arab Emirates,2003,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,2.903,2.659,9.18%,4.23%
Middle East,ARE,United Arab Emirates,2003,SP.POP.TOTL,Total Population,Population,Population,People,4192457,3956826,5.96%,0.13%
Middle East,ARE,United Arab Emirates,2004,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,63.5677298138648,55.9231992151745,13.67%,14.30%
Middle East,ARE,United Arab Emirates,2004,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,1.66536190905993,1.92768393253654,-13.61%,1.04%
Middle East,ARE,United Arab Emirates,2004,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,147824370319.946,124346358066.712,18.88%,2.99%
Middle East,ARE,United Arab Emirates,2004,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,33376.7152295209,29659.5428567811,12.53%,41.52%
Middle East,ARE,United Arab Emirates,2004,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,2.965,2.903,2.14%,4.24%
Middle East,ARE,United Arab Emirates,2004,SP.POP.TOTL,Total Population,Population,Population,People,4428967,4192457,5.64%,0.14%
Middle East,ARE,United Arab Emirates,2005,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,67.5853113898841,63.5677298138648,6.32%,14.87%
Middle East,ARE,United Arab Emirates,2005,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,1.39540987408529,1.66536190905993,-16.21%,0.92%
Middle East,ARE,United Arab Emirates,2005,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,180617467964.602,147824370319.946,22.18%,3.11%
Middle East,ARE,United Arab Emirates,2005,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,38719.3138307623,33376.7152295209,16.01%,41.06%
Middle East,ARE,United Arab Emirates,2005,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,3.12,2.965,5.23%,4.46%
Middle East,ARE,United Arab Emirates,2005,SP.POP.TOTL,Total Population,Population,Population,People,4664790,4428967,5.32%,0.14%
Middle East,ARE,United Arab Emirates,2006,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,68.6277976715135,67.5853113898841,1.54%,14.98%
