Region,Country Code,Country,Year,Indicator Code,Indicator Name,Indicator Short Name,Category,Value Type,Sum of Value,Sum of Previous Year Value,Sum of Growth Rate %,Sum of Country Share %
East Asia,CHN,China,2005,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,1.7764140766757,3.82463743108159,-53.55%,2.71%
East Asia,CHN,China,2005,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,33.3687977498922,30.6097162464404,9.01%,7.34%
East Asia,CHN,China,2005,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,11.4828123533826,12.7288429360401,-9.79%,7.53%
East Asia,CHN,China,2005,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,2317551298052.05,1984196551300.44,16.80%,39.93%
East Asia,CHN,China,2005,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,1777.64496828464,1530.92726215723,16.12%,1.89%
East Asia,CHN,China,2005,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,4.52,4.49,0.67%,6.46%
East Asia,CHN,China,2005,SP.POP.TOTL,Total Population,Population,Population,People,1303720000,1296075000,0.59%,40.43%
East Asia,CHN,China,2006,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,1.64943099455859,1.7764140766757,-7.15%,2.36%
East Asia,CHN,China,2006,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,35.5268468681701,33.3687977498922,6.47%,7.76%
East Asia,CHN,China,2006,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,10.4758623658001,11.4828123533826,-8.77%,7.20%
East Asia,CHN,China,2006,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,2791498472804.33,2317551298052.05,20.45%,41.15%
East Asia,CHN,China,2006,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,2129.25696999613,1777.64496828464,19.78%,2.00%
East Asia,CHN,China,2006,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,4.43,4.52,-1.99%,6.63%
East Asia,CHN,China,2006,SP.POP.TOTL,Total Population,Population,Population,People,1311020000,1303720000,0.56%,40.19%
East Asia,CHN,China,2007,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,4.81676767378834,1.64943099455859,192.03%,6.89%
East Asia,CHN,China,2007,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,34.9066956194649,35.5268468681701,-1.75%,7.72%
East Asia,CHN,China,2007,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,10.0934194559262,10.4758623658001,-3.65%,6.99%
East Asia,CHN,China,2007,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,3604055822571.63,2791498472804.33,29.11%,43.25%
East Asia,CHN,China,2007,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,2734.72709877693,2129.25696999613,28.44%,2.37%
East Asia,CHN,China,2007,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,4.35,4.43,-1.81%,6.56%
East Asia,CHN,China,2007,SP.POP.TOTL,Total Population,Population,Population,People,1317885000,1311020000,0.52%,39.95%
East Asia,CHN,China,2008,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,5.92525137041091,4.81676767378834,23.01%,4.60%
East Asia,CHN,China,2008,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,32.092513602143,34.9066956194649,-8.06%,6.93%
East Asia,CHN,China,2008,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,10.0099770734138,10.0934194559262,-0.83%,6.88%
East Asia,CHN,China,2008,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,4667346414521.95,3604055822571.63,29.50%,48.33%
East Asia,CHN,China,2008,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,3523.44302065213,2734.72709877693,28.84%,2.83%
East Asia,CHN,China,2008,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,4.59,4.35,5.52%,7.03%
East Asia,CHN,China,2008,SP.POP.TOTL,Total Population,Population,Population,People,1324655000,1317885000,0.51%,39.70%
East Asia,CHN,China,2009,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,-0.728165250932898,5.92525137041091,-112.29%,-1.13%
East Asia,CHN,China,2009,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,24.3307718125403,32.092513602143,-24.19%,5.83%
East Asia,CHN,China,2009,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,9.47299581661597,10.0099770734138,-5.36%,6.42%
East Asia,CHN,China,2009,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,5189577094997.58,4667346414521.95,11.19%,52.22%
East Asia,CHN,China,2009,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,3898.24459158811,3523.44302065213,10.64%,3.78%
East Asia,CHN,China,2009,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,4.72,4.59,2.83%,6.77%
East Asia,CHN,China,2009,SP.POP.TOTL,Total Population,Population,Population,People,1331260000,1324655000,0.50%,39.46%
East Asia,CHN,China,2010,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,3.17532475269199,-0.728165250932898,-536.07%,4.16%
East Asia,CHN,China,2010,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,26.7227451502469,24.3307718125403,9.83%,6.81%
East Asia,CHN,China,2010,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,9.16649906130733,9.47299581661597,-3.24%,6.26%
East Asia,CHN,China,2010,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,6192564874453.29,5189577094997.58,19.33%,51.28%
East Asia,CHN,China,2010,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,4629.24551710077,3898.24459158811,18.75%,3.71%
East Asia,CHN,China,2010,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,4.53,4.72,-4.03%,7.08%
East Asia,CHN,China,2010,SP.POP.TOTL,Total Population,Population,Population,People,1337705000,1331260000,0.48%,39.24%
East Asia,CHN,China,2011,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,5.55389892257493,3.17532475269199,74.91%,6.99%
East Asia,CHN,China,2011,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,26.1518828948759,26.7227451502469,-2.14%,6.24%
East Asia,CHN,China,2011,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,9.0338458593332,9.16649906130733,-1.45%,6.22%
East Asia,CHN,China,2011,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,7671757207851.29,6192564874453.29,23.89%,53.52%
East Asia,CHN,China,2011,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,5703.76027973346,4629.24551710077,23.21%,3.97%
East Asia,CHN,China,2011,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,4.55,4.53,0.44%,7.49%
